Time Date,School,Course,Passing rate
31122012,City College of Calamba,Bachelor of Science in Elementary Education,100
31122013,City College of Calamba,Bachelor of Science in Elementary Education,84.62
30122014,City College of Calamba,Bachelor of Science in Elementary Education,66.67
31122014,City College of Calamba,Bachelor of Science in Elementary Education,91.67
30122015,City College of Calamba,Bachelor of Science in Elementary Education,100
31122015,City College of Calamba,Bachelor of Science in Elementary Education,84.09
30122016,City College of Calamba,Bachelor of Science in Elementary Education,100
31122016,City College of Calamba,Bachelor of Science in Elementary Education,87.93
30122017,City College of Calamba,Bachelor of Science in Elementary Education,66.67
31122017,City College of Calamba,Bachelor of Science in Elementary Education,72
30122018,City College of Calamba,Bachelor of Science in Elementary Education,78.57
31122018,City College of Calamba,Bachelor of Science in Elementary Education,67.14
30122019,City College of Calamba,Bachelor of Science in Elementary Education,82.61
31122019,City College of Calamba,Bachelor of Science in Elementary Education,75.34
31122022,City College of Calamba,Bachelor of Science in Elementary Education,75
30122019,Calamba Doctor's College,Bachelor of Science in Elementary Education,50
31122019,Calamba Doctor's College,Bachelor of Science in Elementary Education,0
30122010,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,14.55
31122010,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,8.93
30122011,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,16
31122011,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,0
30122012,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,53.85
31122012,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,46.97
30122013,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,32.65
31122013,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,28.57
30122014,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,21.21
31122014,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,23.08
30122015,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,13.79
31122015,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,20
30122016,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,31.58
31122016,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,23.4
30122017,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,6.52
31122017,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,25.58
30122018,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,17.24
31122018,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,15
30122019,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,19.35
31122019,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,22.58
31122021,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,100
31122022,Laguna College Of Business And Arts,Bachelor of Science in Elementary Education,45.45
30122010,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,0
31122010,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,50
30122011,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,0
31122011,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,28.57
30122012,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,100
31122012,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,50
30122013,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,0
31122013,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,30
30122014,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,60
31122014,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,54.55
30122015,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,50
31122015,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,75
30122016,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,0
31122016,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,33.33
30122017,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,33.33
31122017,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,50
30122018,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,0
31122018,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,66.67
30122019,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,0
31122019,Colegio de San Juan de Letran,Bachelor of Science in Elementary Education,66.67
30122010,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,0
31122010,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,0
30122011,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,0
31122011,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,0
30122012,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,50
31122012,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,50
30122013,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,66.67
31122013,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,30
31122014,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,33.33
30122015,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,0
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,20
30122016,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,25
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,50
30122017,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,0
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,42.86
30122018,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,0
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,70
30122019,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,25
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,46.15
31122022,University of Perpetual Help System Dalta,Bachelor of Science in Elementary Education,100
30122010,Saint John Colleges,Bachelor of Science in Elementary Education,66.67
31122010,Saint John Colleges,Bachelor of Science in Elementary Education,50
30122011,Saint John Colleges,Bachelor of Science in Elementary Education,16.67
31122011,Saint John Colleges,Bachelor of Science in Elementary Education,8.33
30122012,Saint John Colleges,Bachelor of Science in Elementary Education,100
31122012,Saint John Colleges,Bachelor of Science in Elementary Education,75
