Time Date,School,Course,Passing Rate
30122010,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,28.57
31122010,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,25
30122011,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,66.67
31122011,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,36.36
30122012,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,12.5
31122012,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,43.48
30122013,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,11.11
31122013,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,81.82
30122014,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,10
31122014,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,23.08
30122015,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,66.67
31122015,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,100
30122016,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,88.89
31122016,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,50
30122017,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,60
31122017,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,28.57
30122018,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,92.86
31122018,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,50
30122019,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,77.78
31122019,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,57.89
31122021,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,66.67
31122022,Colegio de San Juan de Letran,Bachelor of Science in Electrical Engineering,40
30122010,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,50
31122010,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,20
30122011,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,50
31122011,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,60
30122012,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,66.67
31122012,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,80
31122013,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,44.44
30122014,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,100
31122014,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,52.63
30122015,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,83.33
31122015,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,0
30122016,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,90
31122016,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,33.33
30122017,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,100
31122017,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,0
31122018,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,86.67
30122019,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,80
31122019,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,91.67
31122021,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,66.67
31122022,Lyceum of the Philippines University,Bachelor of Science in Electrical Engineering,66.67
30122010,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,25
31122010,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,0
31122011,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,50
30122012,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,100
31122012,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,50
30122014,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,0
31122014,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,75
30122015,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,66.67
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,100
30122016,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,83.33
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,50
30122017,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,0
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,0
30122018,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,50
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,0
30122019,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,0
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,30
31122021,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,100
31122022,University of Perpetual Help System Dalta,Bachelor of Science in Electrical Engineering,66.67
