Time Date,School,Course,Passing Rate
30122010,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,75
31122010,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,27.08
30122011,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,30
31122011,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,25
30122012,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,42.86
31122012,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,61.54
30122013,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,33.33
31122013,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,10.34
30122014,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,33.33
31122014,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,2.44
30122015,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,83.33
31122015,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,76.92
30122016,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,25
31122016,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,57.14
30122017,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,50
31122017,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,100
30122018,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,80
31122018,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,86.96
30122019,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,26.32
31122019,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,42.11
31122021,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,57.89
30122022,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,40
31122022,Colegio de San Juan de Letran,Bachelor of Science in Electronics Engineering,0
30122010,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,28.57
31122010,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,8.57
30122011,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,55.56
31122011,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,42.31
30122012,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,53.85
31122012,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,37.5
30122013,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,31.25
31122013,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,27.27
30122014,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,46.67
31122014,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,37.93
30122015,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,33.33
31122015,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,15.79
30122016,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,50
31122016,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,70
30122017,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,60
31122017,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,48.48
30122018,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,41.67
31122018,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,41.67
30122019,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,83.33
31122019,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,91.67
31122020,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,69.23
31122021,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,0
31122022,Lyceum of the Philippines University,Bachelor of Science in Electronics Engineering,100
30122010,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
31122010,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,10
31122011,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,16.67
30122012,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,66.67
31122012,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,25
30122013,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,25
31122013,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
30122014,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
31122014,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
30122016,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
30122017,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,100
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,40
30122018,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,20
30122019,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,25
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,8.33
31122021,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,30
30122022,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
31122022,University of Perpetual Help System Dalta,Bachelor of Science in Electronics Engineering,0
