Time Date,School,Course,Passing Rate
30122010,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,48.33
31122010,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,23.53
30122011,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,50
31122011,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,73.68
30122012,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,65
31122012,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,35.71
30122013,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,50
31122013,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,0
30122014,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,63.49
31122014,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,27.78
30122015,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,28.13
31122015,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,42.11
30122016,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,30.56
31122016,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,63.89
30122017,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,37.04
31122017,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,64.71
30122018,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,18.18
31122018,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,41.94
30122019,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,53.13
31122019,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,68
31122020,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,20.34
31122021,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,33.33
31122022,Colegio de San Juan de Letran,Bachelor of Science in Mechanical Engineering,37.5
30122010,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,100
31122010,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,60
30122011,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,0
31122011,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,66.67
31122012,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,53.85
30122013,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,60
31122013,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,100
30122014,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,100
31122014,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,0
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,35.71
30122016,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,0
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,57.14
30122017,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,50
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,30.77
30122018,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,14.29
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,45
30122019,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,12.5
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,35.14
31122020,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,18.75
31122021,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,50
31122022,University of Perpetual Help System Dalta,Bachelor of Science in Mechanical Engineering,62.5
