Time Date,School,Course,Passing Rate
31122010,Calamba Doctor's College,Bachelor of Science in Nursing,46.98
30122011,Calamba Doctor's College,Bachelor of Science in Nursing,29.63
31122011,Calamba Doctor's College,Bachelor of Science in Nursing,54.84
30122012,Calamba Doctor's College,Bachelor of Science in Nursing,23.81
31122012,Calamba Doctor's College,Bachelor of Science in Nursing,49.33
30122013,Calamba Doctor's College,Bachelor of Science in Nursing,33.33
31122013,Calamba Doctor's College,Bachelor of Science in Nursing,51.52
30122014,Calamba Doctor's College,Bachelor of Science in Nursing,36.11
31122014,Calamba Doctor's College,Bachelor of Science in Nursing,50
30122015,Calamba Doctor's College,Bachelor of Science in Nursing,54.17
31122015,Calamba Doctor's College,Bachelor of Science in Nursing,30.77
29122016,Calamba Doctor's College,Bachelor of Science in Nursing,20
30122016,Calamba Doctor's College,Bachelor of Science in Nursing,64.71
31122016,Calamba Doctor's College,Bachelor of Science in Nursing,36.36
30122017,Calamba Doctor's College,Bachelor of Science in Nursing,30
31122017,Calamba Doctor's College,Bachelor of Science in Nursing,55.56
30122018,Calamba Doctor's College,Bachelor of Science in Nursing,22.22
31122018,Calamba Doctor's College,Bachelor of Science in Nursing,61.54
30122019,Calamba Doctor's College,Bachelor of Science in Nursing,36.36
31122019,Calamba Doctor's College,Bachelor of Science in Nursing,70.83
30122021,Calamba Doctor's College,Bachelor of Science in Nursing,50
31122021,Calamba Doctor's College,Bachelor of Science in Nursing,50
31122022,Calamba Doctor's College,Bachelor of Science in Nursing,85.71
31122010,Colegio de San Juan de Letran,Bachelor of Science in Nursing,43.22
30122011,Colegio de San Juan de Letran,Bachelor of Science in Nursing,45
31122011,Colegio de San Juan de Letran,Bachelor of Science in Nursing,51.89
30122012,Colegio de San Juan de Letran,Bachelor of Science in Nursing,28.72
31122012,Colegio de San Juan de Letran,Bachelor of Science in Nursing,46.24
30122013,Colegio de San Juan de Letran,Bachelor of Science in Nursing,25.49
31122013,Colegio de San Juan de Letran,Bachelor of Science in Nursing,45.45
30122014,Colegio de San Juan de Letran,Bachelor of Science in Nursing,35.71
31122014,Colegio de San Juan de Letran,Bachelor of Science in Nursing,53.57
30122015,Colegio de San Juan de Letran,Bachelor of Science in Nursing,42.86
31122015,Colegio de San Juan de Letran,Bachelor of Science in Nursing,78.95
29122016,Colegio de San Juan de Letran,Bachelor of Science in Nursing,50
30122016,Colegio de San Juan de Letran,Bachelor of Science in Nursing,71.43
31122016,Colegio de San Juan de Letran,Bachelor of Science in Nursing,25
30122017,Colegio de San Juan de Letran,Bachelor of Science in Nursing,0
31122017,Colegio de San Juan de Letran,Bachelor of Science in Nursing,50
30122018,Colegio de San Juan de Letran,Bachelor of Science in Nursing,25
31122018,Colegio de San Juan de Letran,Bachelor of Science in Nursing,75
30122019,Colegio de San Juan de Letran,Bachelor of Science in Nursing,66.67
31122019,Colegio de San Juan de Letran,Bachelor of Science in Nursing,50
30122021,Colegio de San Juan de Letran,Bachelor of Science in Nursing,75
31122021,Colegio de San Juan de Letran,Bachelor of Science in Nursing,75
31122022,Colegio de San Juan de Letran,Bachelor of Science in Nursing,100
31122011,Lyceum of the Philippines University,Bachelor of Science in Nursing,71.43
30122012,Lyceum of the Philippines University,Bachelor of Science in Nursing,100
31122012,Lyceum of the Philippines University,Bachelor of Science in Nursing,16.67
30122013,Lyceum of the Philippines University,Bachelor of Science in Nursing,41.67
31122013,Lyceum of the Philippines University,Bachelor of Science in Nursing,25
30122014,Lyceum of the Philippines University,Bachelor of Science in Nursing,25
31122014,Lyceum of the Philippines University,Bachelor of Science in Nursing,33.33
30122015,Lyceum of the Philippines University,Bachelor of Science in Nursing,50
31122015,Lyceum of the Philippines University,Bachelor of Science in Nursing,50
29122016,Lyceum of the Philippines University,Bachelor of Science in Nursing,25
30122016,Lyceum of the Philippines University,Bachelor of Science in Nursing,75
31122016,Lyceum of the Philippines University,Bachelor of Science in Nursing,50
30122017,Lyceum of the Philippines University,Bachelor of Science in Nursing,0
31122017,Lyceum of the Philippines University,Bachelor of Science in Nursing,25
30122018,Lyceum of the Philippines University,Bachelor of Science in Nursing,0
31122018,Lyceum of the Philippines University,Bachelor of Science in Nursing,14.29
30122019,Lyceum of the Philippines University,Bachelor of Science in Nursing,16.67
31122019,Lyceum of the Philippines University,Bachelor of Science in Nursing,30
30122021,Lyceum of the Philippines University,Bachelor of Science in Nursing,75
31122021,Lyceum of the Philippines University,Bachelor of Science in Nursing,20
31122022,Lyceum of the Philippines University,Bachelor of Science in Nursing,55.56
31122010,Saint John Colleges,Bachelor of Science in Nursing,28.57
30122011,Saint John Colleges,Bachelor of Science in Nursing,28.78
31122011,Saint John Colleges,Bachelor of Science in Nursing,37.06
30122012,Saint John Colleges,Bachelor of Science in Nursing,26.03
31122012,Saint John Colleges,Bachelor of Science in Nursing,37.5
30122013,Saint John Colleges,Bachelor of Science in Nursing,23.3
31122013,Saint John Colleges,Bachelor of Science in Nursing,37.14
30122014,Saint John Colleges,Bachelor of Science in Nursing,28.85
31122014,Saint John Colleges,Bachelor of Science in Nursing,26.47
30122015,Saint John Colleges,Bachelor of Science in Nursing,42.86
31122015,Saint John Colleges,Bachelor of Science in Nursing,40
29122016,Saint John Colleges,Bachelor of Science in Nursing,40
30122016,Saint John Colleges,Bachelor of Science in Nursing,43.75
31122016,Saint John Colleges,Bachelor of Science in Nursing,73.33
30122017,Saint John Colleges,Bachelor of Science in Nursing,16.67
31122017,Saint John Colleges,Bachelor of Science in Nursing,41.18
30122018,Saint John Colleges,Bachelor of Science in Nursing,42.86
31122018,Saint John Colleges,Bachelor of Science in Nursing,7.69
30122019,Saint John Colleges,Bachelor of Science in Nursing,23.08
31122019,Saint John Colleges,Bachelor of Science in Nursing,34.78
30122021,Saint John Colleges,Bachelor of Science in Nursing,0
31122021,Saint John Colleges,Bachelor of Science in Nursing,57.89
31122022,Saint John Colleges,Bachelor of Science in Nursing,75
31122010,Saints John and Paul Colleges,Bachelor of Science in Nursing,9.09
30122011,Saints John and Paul Colleges,Bachelor of Science in Nursing,30.3
31122011,Saints John and Paul Colleges,Bachelor of Science in Nursing,22.22
30122012,Saints John and Paul Colleges,Bachelor of Science in Nursing,30.77
31122012,Saints John and Paul Colleges,Bachelor of Science in Nursing,23.08
30122013,Saints John and Paul Colleges,Bachelor of Science in Nursing,7.14
31122013,Saints John and Paul Colleges,Bachelor of Science in Nursing,18.18
30122014,Saints John and Paul Colleges,Bachelor of Science in Nursing,35.29
31122014,Saints John and Paul Colleges,Bachelor of Science in Nursing,10
30122015,Saints John and Paul Colleges,Bachelor of Science in Nursing,60
31122015,Saints John and Paul Colleges,Bachelor of Science in Nursing,75
29122016,Saints John and Paul Colleges,Bachelor of Science in Nursing,40
30122016,Saints John and Paul Colleges,Bachelor of Science in Nursing,60
31122016,Saints John and Paul Colleges,Bachelor of Science in Nursing,50
30122017,Saints John and Paul Colleges,Bachelor of Science in Nursing,0
31122017,Saints John and Paul Colleges,Bachelor of Science in Nursing,0
30122018,Saints John and Paul Colleges,Bachelor of Science in Nursing,16.67
31122018,Saints John and Paul Colleges,Bachelor of Science in Nursing,0
30122019,Saints John and Paul Colleges,Bachelor of Science in Nursing,50
31122019,Saints John and Paul Colleges,Bachelor of Science in Nursing,40
30122021,Saints John and Paul Colleges,Bachelor of Science in Nursing,66.67
31122021,Saints John and Paul Colleges,Bachelor of Science in Nursing,42.86
31122022,Saints John and Paul Colleges,Bachelor of Science in Nursing,100
