Time Date,School,Course,Passing Rate
31122018,Calamba Doctor's College,Bachelor of Science in Psychology,71.43
31122022,Calamba Doctor's College,Bachelor of Science in Psychology,33.33
31122014,Laguna College Of Business And Arts,Bachelor of Science in Psychology,50
31122015,Laguna College Of Business And Arts,Bachelor of Science in Psychology,0
30122016,Laguna College Of Business And Arts,Bachelor of Science in Psychology,0
31122016,Laguna College Of Business And Arts,Bachelor of Science in Psychology,25
30122017,Laguna College Of Business And Arts,Bachelor of Science in Psychology,25
31122017,Laguna College Of Business And Arts,Bachelor of Science in Psychology,50
30122018,Laguna College Of Business And Arts,Bachelor of Science in Psychology,0
31122018,Laguna College Of Business And Arts,Bachelor of Science in Psychology,26.32
30122019,Laguna College Of Business And Arts,Bachelor of Science in Psychology,38.1
31122019,Laguna College Of Business And Arts,Bachelor of Science in Psychology,50
31122022,Laguna College Of Business And Arts,Bachelor of Science in Psychology,50
31122014,Lyceum of the Philippines University,Bachelor of Science in Psychology,50
31122015,Lyceum of the Philippines University,Bachelor of Science in Psychology,0
31122016,Lyceum of the Philippines University,Bachelor of Science in Psychology,100
31122017,Lyceum of the Philippines University,Bachelor of Science in Psychology,50
31122018,Lyceum of the Philippines University,Bachelor of Science in Psychology,42.11
31122019,Lyceum of the Philippines University,Bachelor of Science in Psychology,62.5
31122022,Lyceum of the Philippines University,Bachelor of Science in Psychology,33.33
31122014,Colegio de San Juan de Letran,Bachelor of Science in Psychology,9.09
31122015,Colegio de San Juan de Letran,Bachelor of Science in Psychology,56
31122016,Colegio de San Juan de Letran,Bachelor of Science in Psychology,42.5
31122017,Colegio de San Juan de Letran,Bachelor of Science in Psychology,42.86
31122018,Colegio de San Juan de Letran,Bachelor of Science in Psychology,44.68
31122019,Colegio de San Juan de Letran,Bachelor of Science in Psychology,53.7
31122022,Colegio de San Juan de Letran,Bachelor of Science in Psychology,0
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Psychology,0
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Psychology,40
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Psychology,40
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Psychology,20
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Psychology,33.33
31122016,Saint John Colleges,Bachelor of Science in Psychology,40
31122017,Saint John Colleges,Bachelor of Science in Psychology,0
31122018,Saint John Colleges,Bachelor of Science in Psychology,0
31122019,Saint John Colleges,Bachelor of Science in Psychology,0
31122014,Saints John and Paul Colleges,Bachelor of Science in Psychology,0
31122018,Saints John and Paul Colleges,Bachelor of Science in Psychology,100
