Time Date,School,Course,Passing Rate
31122010,City College of Calamba,Bachelor of Science in Accountancy,18.75
30122011,City College of Calamba,Bachelor of Science in Accountancy,50
31122011,City College of Calamba,Bachelor of Science in Accountancy,19.05
30122012,City College of Calamba,Bachelor of Science in Accountancy,0
31122012,City College of Calamba,Bachelor of Science in Accountancy,24.32
30122013,City College of Calamba,Bachelor of Science in Accountancy,25
31122013,City College of Calamba,Bachelor of Science in Accountancy,14.29
30122014,City College of Calamba,Bachelor of Science in Accountancy,22.22
31122014,City College of Calamba,Bachelor of Science in Accountancy,8.82
30122015,City College of Calamba,Bachelor of Science in Accountancy,40
31122015,City College of Calamba,Bachelor of Science in Accountancy,19.51
30122016,City College of Calamba,Bachelor of Science in Accountancy,50
31122016,City College of Calamba,Bachelor of Science in Accountancy,28.57
30122017,City College of Calamba,Bachelor of Science in Accountancy,19.35
31122017,City College of Calamba,Bachelor of Science in Accountancy,25.58
30122018,City College of Calamba,Bachelor of Science in Accountancy,9.38
31122018,City College of Calamba,Bachelor of Science in Accountancy,10
30122019,City College of Calamba,Bachelor of Science in Accountancy,7.14
31122019,City College of Calamba,Bachelor of Science in Accountancy,1.35
31122021,City College of Calamba,Bachelor of Science in Accountancy,33.33
31122022,City College of Calamba,Bachelor of Science in Accountancy,50
31122015,AMA Computer College,Bachelor of Science in Accountancy,0
31122016,AMA Computer College,Bachelor of Science in Accountancy,0
31122017,AMA Computer College,Bachelor of Science in Accountancy,0
31122018,AMA Computer College,Bachelor of Science in Accountancy,0
31122019,AMA Computer College,Bachelor of Science in Accountancy,0
30122010,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,41.67
31122010,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,40
30122011,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,20
31122011,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,33.33
30122012,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,50
31122012,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,50
30122013,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,8.33
31122013,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,18.87
30122014,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,15.79
31122014,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,16.39
30122015,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,25
31122015,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,5.63
30122016,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,38.89
31122016,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,19.51
30122017,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,45.45
31122017,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,20.34
30122018,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,12
31122018,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,11.76
30122019,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,9.52
31122019,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,2.63
31122021,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,0
31122022,Colegio de San Juan de Letran,Bachelor of Science in Accountancy,33.33
31122009,Lyceum of the Philippines University,Bachelor of Science in Accountancy,22.22
31122010,Lyceum of the Philippines University,Bachelor of Science in Accountancy,55.56
30122011,Lyceum of the Philippines University,Bachelor of Science in Accountancy,33.33
31122011,Lyceum of the Philippines University,Bachelor of Science in Accountancy,87.5
30122012,Lyceum of the Philippines University,Bachelor of Science in Accountancy,25
31122012,Lyceum of the Philippines University,Bachelor of Science in Accountancy,84.62
30122013,Lyceum of the Philippines University,Bachelor of Science in Accountancy,0
31122013,Lyceum of the Philippines University,Bachelor of Science in Accountancy,63.64
30122014,Lyceum of the Philippines University,Bachelor of Science in Accountancy,33.33
31122014,Lyceum of the Philippines University,Bachelor of Science in Accountancy,83.33
30122015,Lyceum of the Philippines University,Bachelor of Science in Accountancy,0
31122015,Lyceum of the Philippines University,Bachelor of Science in Accountancy,52.94
30122016,Lyceum of the Philippines University,Bachelor of Science in Accountancy,100
31122016,Lyceum of the Philippines University,Bachelor of Science in Accountancy,50
30122017,Lyceum of the Philippines University,Bachelor of Science in Accountancy,70.59
31122017,Lyceum of the Philippines University,Bachelor of Science in Accountancy,82.35
30122018,Lyceum of the Philippines University,Bachelor of Science in Accountancy,28.57
31122018,Lyceum of the Philippines University,Bachelor of Science in Accountancy,28
30122019,Lyceum of the Philippines University,Bachelor of Science in Accountancy,41.18
31122019,Lyceum of the Philippines University,Bachelor of Science in Accountancy,18.75
31122021,Lyceum of the Philippines University,Bachelor of Science in Accountancy,0
31122022,Lyceum of the Philippines University,Bachelor of Science in Accountancy,0
31122009,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,33.33
31122010,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
30122011,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
31122011,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
30122012,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,100
31122012,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
30122013,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
31122013,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
30122014,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
31122014,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
30122015,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,10
30122016,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,25
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,9.09
30122017,University of Perpetual Help System Dalta,Bachelor of Science in Accountancy,0
