Time Date,School,Course,Passing Rate
30122017,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,0
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,100
30122018,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,40
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,50
30122019,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,60
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,57.14
31122020,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,42.86
31122021,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,0
30122022,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,66.67
31122022,University of Perpetual Help System Dalta,Bachelor of Science in Architecture,41.67
