School,Location,City,TRange,Tuition Fee,Course
AMA COMPUTER COLLEGE CALAMBA,Laguna,"Calamba City, Laguna",0 - 20000,"22,000.00",Bachelor of Science in Accountancy
CALAMBA DOCTORS' COLLEGE(FOR. CDH ALLIED MEDICAL COLLEGES),Laguna,"Calamba City, Laguna",41000 - 60000,"46,940.00",Bachelor of Science in Accountancy
CALAMBA DOCTORS' COLLEGE(FOR. CDH ALLIED MEDICAL COLLEGES),Laguna,"Calamba City, Laguna",41000 - 60000,"46,940.00",Bachelor of Science in Elementary Education
CALAMBA DOCTORS' COLLEGE(FOR. CDH ALLIED MEDICAL COLLEGES),Laguna,"Calamba City, Laguna",41000 - 60000,"46,940.00",Bachelor of Science in Secondary Education
Calamba Doctor's College,Laguna,"Calamba City, Laguna",41000 - 60000,"38,347.00",Bachelor of Science in Psychology
Calamba Doctor's College,Laguna,"Calamba City, Laguna",41000 - 60000,"52,737.00",Bachelor of Science in Nursing
CITY COLLEGE OF CALAMBA,Laguna,"Calamba City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
CITY COLLEGE OF CALAMBA,Laguna,"Calamba City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
CITY COLLEGE OF CALAMBA,Laguna,"Calamba City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
COLEGIO DE SAN JUAN DE LETRAN CALAMBA,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Accountancy
COLEGIO DE SAN JUAN DE LETRANCALAMBA,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Elementary Education
COLEGIO DE SAN JUAN DE LETRAN CALAMBA,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Secondary Education
COLEGIO DE SAN JUAN DE LETRANCALAMBA,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Psychology
COLEGIO DE SAN JUAN DE LETRAN CALAMBA,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Electronics Engineering
COLEGIO DE SAN JUAN DE LETRANCALAMBA,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Electrical Engineering
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Nursing
COLEGIO DE SAN JUAN DE LETRAN CALAMBA,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Mechanical Engineering
LAGUNA COLLEGE OF BUSINESS & ARTS,Laguna,"Calamba City, Laguna",41000 - 60000,"44,000 to 50,000",Bachelor of Science in Accountancy
LAGUNA COLLEGE OF BUSINESS & ARTS,Laguna,"Calamba City, Laguna",41000 - 60000,"44,000 to 50,000",Bachelor of Science in Elementary Education
LAGUNA COLLEGE OF BUSINESS & ARTS,Laguna,"Calamba City, Laguna",41000 - 60000,"44,000 to 50,000",Bachelor of Science in Secondary Education
LAGUNA COLLEGE OF BUSINESS & ARTS,Laguna,"Calamba City, Laguna",41000 - 60000,"44,000 to 50,000",Bachelor of Science in Psychology
LYCEUM OF THE PHILIPPINES LAGUNA (for.LYCEUM INST.OF TECH),Laguna,"Calamba City, Laguna",41000 - 60000,"41,000 to 43,000",Bachelor of Science in Accountancy
LYCEUM OF THE PHILIPPINES LAGUNA (for.LYCEUM INST.OF TECH),Laguna,"Calamba City, Laguna",21000 - 40000,"32,000 to 34,000",Bachelor of Science in Psychology
LYCEUM OF THE PHILIPPINES LAGUNA (for.LYCEUM INST.OF TECH),Laguna,"Calamba City, Laguna",41000 - 60000,"56,000 to 58,000",Bachelor of Science in Nursing
LYCEUM OF THE PHILIPPINES LAGUNA (for.LYCEUM INST.OF TECH),Laguna,"Calamba City, Laguna",41000 - 60000,"43,000 to 45,000",Bachelor of Science in Civil Engineering
LYCEUM OF THE PHILIPPINES LAGUNA (for.LYCEUM INST.OF TECH),Laguna,"Calamba City, Laguna",41000 - 60000,"41,000 to 44,000",Bachelor of Science in Electrical Engineering
Saint John Colleges,Laguna,"Calamba City, Laguna",0 - 20000,"16,895.25 to 22,207.75",Bachelor of Science in Accountancy
SAINT JOHN COLLEGECALAMBA,Laguna,"Calamba City, Laguna",0 - 20000,"11,574 to 20,423",Bachelor of Science in Elementary Education
SAINT JOHN COLLEGECALAMBA,Laguna,"Calamba City, Laguna",0 - 20000,"14,146.75 to 19,709.25",Bachelor of Science in Psychology
SAINT JOHN COLLEGECALAMBA,Laguna,"Calamba City, Laguna",0 - 20000,"11,574 to 20,228.25",Bachelor of Science in Secondary Education
SAINT JOHN COLLEGECALAMBA,Laguna,"Calamba City, Laguna",0 - 20000,"11,574 to 19,736.75",Bachelor of Science in Secondary Education
SAINT JOHN COLLEGECALAMBA,Laguna,"Calamba City, Laguna",0 - 20000,"12,817.75 to 20,228.25",Bachelor of Science in Secondary Education
SAINT JOHN COLLEGECALAMBA,Laguna,"Calamba City, Laguna",0 - 20000,"11,574 to 18,907.50",Bachelor of Science in Secondary Education
SAINTS JOHN AND PAUL COLLEGESCALAMBA,Laguna,"Calamba City, Laguna",21000 - 40000,"25,765.00",Bachelor of Science in Psychology
SAINTS JOHN AND PAUL COLLEGES CALAMBA,Laguna,"Calamba City, Laguna",21000 - 40000,"25,765.00",Bachelor of Science in Nursing
UNIVERSITY OF PERPETUAL HELP RIZALCALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"50,000 to 60,000",Bachelor of Science in Accountancy
UNIVERSITY OF PERPETUAL HELP RIZALCALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"50,000 to 60,000",Bachelor of Science in Elementary Education
