School,Location,City,TRange,Tuition Fee,Course
AMA Computer College,Laguna,"Calamba City, Laguna",0 - 20000,"22,000.00",Bachelor of Science in Accountancy
Calamba Doctor's College,Laguna,"Calamba City, Laguna",41000 - 60000,"46,940.00",Bachelor of Science in Accountancy
Calamba Doctor's College,Laguna,"Calamba City, Laguna",41000 - 60000,"46,940.00",Bachelor of Science in Elementary Education
Calamba Doctor's College,Laguna,"Calamba City, Laguna",41000 - 60000,"46,940.00",Bachelor of Science in Secondary Education
Calamba Doctor's College,Laguna,"Calamba City, Laguna",41000 - 60000,"38,347.00",Bachelor of Science in Psychology
Calamba Doctor's College,Laguna,"Calamba City, Laguna",41000 - 60000,"52,737.00",Bachelor of Science in Nursing
City College of Calamba,Laguna,"Calamba City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
City College of Calamba,Laguna,"Calamba City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
City College of Calamba,Laguna,"Calamba City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Accountancy
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Elementary Education
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Secondary Education
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Psychology
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Electronics Engineering
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Electrical Engineering
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Nursing
Colegio de San Juan de Letran,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 55,000",Bachelor of Science in Mechanical Engineering
Laguna College Of Business And Arts,Laguna,"Calamba City, Laguna",41000 - 60000,"44,000 to 50,000",Bachelor of Science in Accountancy
