School,Location,Tuition Fee,Course
AMA Computer College,Barangay Parian,0 - 20000,Bachelor of Science in Accountancy
Calamba Doctor's College,Barangay Parian,41000 - 60000,Bachelor of Science in Accountancy
Calamba Doctor's College,Barangay Parian,41000 - 60000,Bachelor of Elementary Education
Calamba Doctor's College,Barangay Parian,41000 - 60000,Bachelor of Secondary Education
Calamba Doctor's College,Barangay Parian,41000 - 60000,Bachelor of Science in Psychology
Calamba Doctor's College,Barangay Parian,41000 - 60000,Bachelor of Science in Nursing
City College of Calamba,Barangay VII,Free Tuition,Bachelor of Science in Accountancy
City College of Calamba,Barangay VII,Free Tuition,Bachelor of Elementary Education
City College of Calamba,Barangay VII,Free Tuition,Bachelor of Secondary Education
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Science in Accountancy
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Elementary Education
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Secondary Education
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Science in Psychology
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Science in Electronics Engineering
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Science in Electrical Engineering
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Science in Nursing
Colegio de San Juan de Letran,Barangay Bucal,41000 - 60000,Bachelor of Science in Mechanical Engineering
Laguna College Of Business And Arts,Barangay III,41000 - 60000,Bachelor of Science in Accountancy
Laguna College Of Business And Arts,Barangay III,41000 - 60000,Bachelor of Elementary Education
Laguna College Of Business And Arts,Barangay III,41000 - 60000,Bachelor of Secondary Education
Laguna College Of Business And Arts,Barangay III,41000 - 60000,Bachelor of Science in Psychology
Lyceum of the Philippines University,Barangay Makiling,41000 - 60000,Bachelor of Science in Accountancy
Lyceum of the Philippines University,Barangay Makiling,21000 - 40000,Bachelor of Science in Psychology
Lyceum of the Philippines University,Barangay Makiling,41000 - 60000,Bachelor of Science in Electrical Engineering
Lyceum of the Philippines University,Barangay Makiling,41000 - 60000,Bachelor of Science in Nursing
Lyceum of the Philippines University,Barangay Makiling,41000 - 60000,Bachelor of Science in Civil Engineering
Lyceum of the Philippines University,Barangay Makiling,41000 - 60000,Bachelor of Science in Electrical Engineering
Saint John Colleges,Barangay III,0 - 20000,Bachelor of Science in Accountancy
Saint John Colleges,Barangay III,0 - 20000,Bachelor of Elementary Education
Saint John Colleges,Barangay III,0 - 20000,Bachelor of Science in Psychology
Saint John Colleges,Barangay III,0 - 20000,Bachelor of Secondary Education Major in Social Studies
Saint John Colleges,Barangay III,0 - 20000,Bachelor of Secondary Education Major in English
Saint John Colleges,Barangay III,0 - 20000,Bachelor of Secondary Education Major in Filipino
Saint John Colleges,Barangay III,0 - 20000,Bachelor of Secondary Education Major in Mathematics
Saints John and Paul Colleges,Barangay Halang,21000 - 40000,Bachelor of Science in Psychology
Saints John and Paul Colleges,Barangay Halang,21000 - 40000,Bachelor of Science in Nursing
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Accountancy
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Elementary Education
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Secondary Education
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Psychology
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Civil Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Electronics Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Electrical Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Nursing
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Mechanical Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Architecture
University of Perpetual Help System Dalta,Barangay Paciano Rizal,41000 - 60000,Bachelor of Science in Criminology
